dest_fips,county_state,total_in_exemptions
22079,"Rapides Parish, Louisiana",2553
55063,"La Crosse County, Wisconsin",2545
39169,"Wayne County, Ohio",2544
01095,"Marshall County, Alabama",2506
48055,"Caldwell County, Texas",2500
18109,"Morgan County, Indiana",2495
05051,"Garland County, Arkansas",2492
36075,"Oswego County, New York",2491
06069,"San Benito County, California",2490
40083,"Logan County, Oklahoma",2486
39139,"Richland County, Ohio",2483
13255,"Spalding County, Georgia",2473
51015,"Augusta County, Virginia",2467
55039,"Fond du Lac County, Wisconsin",2465
32023,"Nye County, Nevada",2463
53041,"Lewis County, Washington",2462
13313,"Whitfield County, Georgia",2460
06009,"Calaveras County, California",2454
45085,"Sumter County, South Carolina",2454
28081,"Lee County, Mississippi",2444
37089,"Henderson County, North Carolina",2438
48497,"Wise County, Texas",2436
26091,"Lenawee County, Michigan",2425
01113,"Russell County, Alabama",2416
48361,"Orange County, Texas",2409
22109,"Terrebonne Parish, Louisiana",2401
36117,"Wayne County, New York",2400
01015,"Calhoun County, Alabama",2379
20015,"Butler County, Kansas",2370
36113,"Warren County, New York",2370
27059,"Isanti County, Minnesota",2369
22115,"Vernon Parish, Louisiana",2366
13039,"Camden County, Georgia",2357
37065,"Edgecombe County, North Carolina",2353
16005,"Bannock County, Idaho",2350
18035,"Delaware County, Indiana",2332
21185,"Oldham County, Kentucky",2321
47155,"Sevier County, Tennessee",2313
16083,"Twin Falls County, Idaho",2305
18173,"Warrick County, Indiana",2293
54011,"Cabell County, West Virginia",2292
47001,"Anderson County, Tennessee",2291
48199,"Hardin County, Texas",2290
54037,"Jefferson County, West Virginia",2290
51047,"Culpeper County, Virginia",2289
26155,"Shiawassee County, Michigan",2286
05033,"Crawford County, Arkansas",2271
48469,"Victoria County, Texas",2271
22089,"St. Charles Parish, Louisiana",2267
12023,"Columbia County, Florida",2253
12119,"Sumter County, Florida",2248
19013,"Black Hawk County, Iowa",2244
29051,"Cole County, Missouri",2244
30029,"Flathead County, Montana",2244
39029,"Columbiana County, Ohio",2239
18091,"La Porte County, Indiana",2237
51165,"Rockingham County, Virginia",2225
01055,"Etowah County, Alabama",2224
38015,"Burleigh County, North Dakota",2221
29031,"Cape Girardeau County, Missouri",2219
33005,"Cheshire County, New Hampshire",2218
39007,"Ashtabula County, Ohio",2192
35061,"Valencia County, New Mexico",2189
24047,"Worcester County, Maryland",2168
19169,"Story County, Iowa",2163
01083,"Limestone County, Alabama",2160
55117,"Sheboygan County, Wisconsin",2153
40125,"Pottawatomie County, Oklahoma",2151
51683,"Manassas city, Virginia",2144
40051,"Grady County, Oklahoma",2142
25011,"Franklin County, Massachusetts",2141
51031,"Campbell County, Virginia",2139
48467,"Van Zandt County, Texas",2136
48203,"Harrison County, Texas",2134
47011,"Bradley County, Tennessee",2132
29021,"Buchanan County, Missouri",2124
48373,"Polk County, Texas",2121
39129,"Pickaway County, Ohio",2117
29101,"Johnson County, Missouri",2115
01009,"Blount County, Alabama",2107
40119,"Payne County, Oklahoma",2105
18029,"Dearborn County, Indiana",2099
26015,"Barry County, Michigan",2097
19193,"Woodbury County, Iowa",2088
47089,"Jefferson County, Tennessee",2088
21113,"Jessamine County, Kentucky",2077
39043,"Erie County, Ohio",2065
17141,"Ogle County, Illinois",2063
06103,"Tehama County, California",2053
26067,"Ionia County, Michigan",2050
20161,"Riley County, Kansas",2047
39027,"Clinton County, Ohio",2043
51121,"Montgomery County, Virginia",2041
22095,"St. John the Baptist Parish, Louisiana",2024
27013,"Blue Earth County, Minnesota",2022
29187,"St. Francois County, Missouri",2022
53017,"Douglas County, Washington",2022
55111,"Sauk County, Wisconsin",2014
47167,"Tipton County, Tennessee",2012
12131,"Walton County, Florida",2009
36115,"Washington County, New York",2009
18005,"Bartholomew County, Indiana",2006
39015,"Brown County, Ohio",2002
48013,"Atascosa County, Texas",2000
36053,"Madison County, New York",1999
26017,"Bay County, Michigan",1976
41009,"Columbia County, Oregon",1975
47021,"Cheatham County, Tennessee",1972
55017,"Chippewa County, Wisconsin",1970
20061,"Geary County, Kansas",1965
12107,"Putnam County, Florida",1959
18167,"Vigo County, Indiana",1957
49021,"Iron County, Utah",1953
33003,"Carroll County, New Hampshire",1950
48053,"Burnet County, Texas",1947
05091,"Miller County, Arkansas",1945
27035,"Crow Wing County, Minnesota",1945
41059,"Umatilla County, Oregon",1944
26073,"Isabella County, Michigan",1942
48221,"Hood County, Texas",1940
